"Weight","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8"
"100","47.19","47.59","51.37","55.14","63.16","69.78","76.86"
"101","47.45","47.82","51.73","55.3","63.2","69.81","76.87"
"102","47.95","48.54","52.33","56.01","63.79","70.37","77.54"
"103","49.26","49.29","52.97","56.57","64.99","71.59","78.23"
"104","49.56","50","53.6","57.17","65.21","71.8","78.96"
"105","50.37","50.76","54.21","58.33","65.61","72.22","79.64"
"106","51.2","51.51","54.83","58.36","66.21","72.86","80.38"
"107","51.95","52.29","56","58.95","66.81","73.51","81.09"
"108","52.7","53.03","56.1","59.54","67.42","74.15","81.81"
"109","53.46","53.76","56.71","60.13","68.02","74.78","82.54"
"110","54.11","54.55","57.35","60.71","68.68","75.45","83.26"
"111","54.71","55.16","58.56","61.3","69.26","76.07","84.16"
"112","55.83","56.29","59.19","61.9","69.85","76.73","85.07"
"113","55.89","56.35","59.84","62.47","70.47","77.37","86.61"
"114","56.48","57.53","60.51","63.68","71.08","77.99","86.82"
"115","57.08","57.62","60.59","63.86","71.66","78.66","87.18"
"116","57.68","58.39","61.82","64.15","72.15","79.14","87.73"
"117","58.26","59.01","62.45","65.33","72.74","79.77","89.13"
"118","58.87","60.22","62.51","65.52","73.34","80.41","89.93"
"119","59.49","60.28","63.15","65.9","73.95","81.04","91"
"120","60.52","61.41","63.81","66.52","74.55","81.68","91.11"
"121","61.18","61.75","64.46","66.99","75.03","82.13","91.53"
"122","61.6","62.33","65.1","67.58","75.62","83.42","92.27"
"123","62.23","62.4","66.42","68.15","76.22","83.63","93.01"
"124","62.82","63.61","66.46","68.78","76.84","84.03","93.7"
"125","63.46","63.62","67.13","69.38","77.43","84.67","94.4"
"126","64.68","64.86","68.44","69.83","77.87","85.13","95.9"
"127","64.73","64.89","69.12","70.42","78.47","85.76","96.6"
"128","65.34","65.36","69.8","71.03","79.05","86.99","97.34"
"129","66.58","66.62","70.46","71.65","79.66","87.3","98.07"
"130","66.6","66.83","71.11","72.2","80.24","87.62","98.8"
"131","67.21","67.26","71.8","72.7","80.69","88.09","98.83"
"132","67.85","68.57","72","73.29","81.29","88.69","100.27"
"133","68.49","68.67","72.48","73.87","81.86","89.32","100.6"
"134","69.11","69.2","73.2","74.5","82.49","89.93","101.03"
"135","69.63","70.57","73.85","75.12","83.16","90.59","102.48"
"136","70.21","71.2","75.28","75.75","83.82","91.26","102.51"
"137","70.83","71.4","75.98","76.3","84.31","91.83","103.19"
"138","71.48","71.86","76.68","77.01","85.8","92.58","104.64"
"139","72.12","73.28","76.99","77.66","86.06","93.21","105.05"
"140","72.76","73.49","77.41","78.3","86.48","93.86","105.36"
"141","73.4","73.96","78.15","78.91","86.98","94.34","105.89"
"142","73.69","74.65","78.87","79.55","87.62","94.99","106.59"
"143","74.35","75.34","79.59","80.19","88.3","95.67","107.32"
"144","75.01","76.03","80.34","80.83","88.96","96.31","108.04"
"145","75.27","77.51","81.48","81.5","89.63","96.95","108.77"
"146","75.92","78.15","81.8","82.11","90.29","97.59","109.46"
"147","77.05","78.3","82.57","82.77","90.94","98.26","110.21"
"148","77.25","78.86","83.43","83.45","92.28","98.91","110.94"
"149","77.47","79.56","84.04","84.05","92.49","99.55","112.18"
"150","78.13","80.27","85.43","86.88","92.98","100.23","112.92"
